fiscal_year,year,month,month_numeric,day,date_stamp,volume_in_mn,value_in_cr,updated_on,released_on,data_source,data_url
2021-22,2021,August,8,11,2021-08-11,5.42,1324.43,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,12,2021-08-12,4.50,1114.27,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,13,2021-08-13,4.20,1074.62,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,14,2021-08-14,3.89,979.70,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,15,2021-08-15,2.66,623.35,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,16,2021-08-16,4.03,1013.64,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,17,2021-08-17,3.82,982.80,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,18,2021-08-18,3.41,878.33,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,19,2021-08-19,3.74,945.87,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,20,2021-08-20,3.64,900.09,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,21,2021-08-21,4.24,997.33,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,22,2021-08-22,2.51,529.15,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,23,2021-08-23,2.98,752.46,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,24,2021-08-24,2.85,726.86,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,25,2021-08-25,3.02,769.00,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,26,2021-08-26,3.02,775.11,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
